 borough ,year,theft,robbery,burglary,total_property_crime,total_crime,unemployment(tousands),earnings,number of NVQ4+ aged 16-64,Population estimate,Population per square kilometre
 Harrow ,2019,3566 ,638 ,2048 ,6252 ,17389 ,5100 ,581.90 ,78300 ,258861 ,5130 
 Havering ,2019,4028 ,688 ,1886 ,6602 ,19211 ,6100 ,568.50 ,54100 ,258655 ,2302 
 Hillingdon ,2019,5641 ,817 ,2777 ,9235 ,27469 ,6200 ,545.90 ,103600 ,312567 ,2702 
 Hounslow ,2019,5574 ,757 ,2224 ,8555 ,27008 ,7200 ,547.60 ,100600 ,281339 ,5026 
 Islington ,2019,10696 ,1598 ,2659 ,14953 ,30412 ,7100 ,699.10 ,108300 ,241589 ,16261 
 Kensington and Chelsea ,2019,9560 ,995 ,2167 ,12722 ,25265 ,3700 ,763.70 ,67600 ,160531 ,13241 
 Kingston upon Thames ,2019,3512 ,366 ,1005 ,4883 ,13235 ,3200 ,628.00 ,70000 ,180598 ,4847 
 Lambeth ,2019,10344 ,1377 ,3193 ,14914 ,36315 ,10900 ,634.80 ,155700 ,338028 ,12608 
 Lewisham ,2019,5571 ,1263 ,2676 ,9510 ,29196 ,8600 ,552.00 ,129100 ,314027 ,8934 
 Merton ,2019,3107 ,426 ,1583 ,5116 ,14531 ,5100 ,578.90 ,83300 ,210452 ,5593 
 Newham ,2019,9423 ,1909 ,2262 ,13594 ,36343 ,9100 ,517.50 ,110800 ,359470 ,9931 
 Redbridge ,2019,4873 ,1003 ,2163 ,8039 ,24190 ,6700 ,565.60 ,92000 ,307690 ,5454 
 Richmond upon Thames ,2019,2996 ,431 ,1524 ,4951 ,12947 ,3000 ,721.10 ,81800 ,200703 ,3496 
 Southwark ,2019,12872 ,2466 ,3274 ,18612 ,40121 ,9300 ,628.00 ,144200 ,327271 ,11339 
 Sutton ,2019,2661 ,289 ,1361 ,4311 ,13967 ,4700 ,549.00 ,60500 ,209666 ,4782 
 Tower Hamlets ,2019,9449 ,1465 ,3213 ,14127 ,35439 ,9700 ,688.90 ,142500 ,323696 ,16364 
 Waltham Forest ,2019,5186 ,837 ,1962 ,7985 ,24252 ,7900 ,574.90 ,94800 ,286776 ,7390 
 Wandsworth ,2019,6453 ,891 ,2723 ,10067 ,26383 ,7100 ,720.90 ,168300 ,328828 ,9597 
 Westminster ,2019,46546 ,4468 ,4647 ,55661 ,83037 ,5600 ,703.90 ,112700 ,258511 ,12031 
 Barking and Dagenham ,2020,3158 ,737 ,1218 ,5113 ,19274 ,8100 ,486.70 ,62400 ,218367 ,6048 
 Barnet ,2020,5081 ,921 ,2816 ,8818 ,27432 ,11700 ,538.80 ,158400 ,407148 ,4693 
 Bexley ,2020,2253 ,309 ,1028 ,3590 ,15619 ,6200 ,566.50 ,59500 ,254970 ,4209 
 Brent ,2020,4711 ,984 ,2127 ,7822 ,28828 ,12300 ,531.80 ,111100 ,343853 ,7954 
 Bromley ,2020,3995 ,496 ,1746 ,6237 ,22057 ,8600 ,613.20 ,110500 ,336395 ,2241 
 Camden ,2020,10258 ,1206 ,2281 ,13745 ,29676 ,7800 ,623.00 ,121800 ,257384 ,11812 
 Croydon ,2020,4665 ,965 ,2343 ,7973 ,33403 ,13300 ,565.10 ,119200 ,400272 ,4627 
 Ealing ,2020,4852 ,875 ,2199 ,7926 ,29485 ,11700 ,566.80 ,139000 ,361833 ,6514 
 Enfield ,2020,4290 ,1106 ,2454 ,7850 ,28890 ,11300 ,492.60 ,101300 ,342993 ,4243 
 Greenwich ,2020,4318 ,756 ,1674 ,6748 ,25821 ,9400 ,573.10 ,122600 ,292466 ,6179 
 Hackney ,2020,8493 ,1620 ,2583 ,12696 ,30778 ,11000 ,574.90 ,126400 ,289488 ,15197 
 Hammersmith and Fulham ,2020,5090 ,551 ,1476 ,7117 ,19163 ,6900 ,713.10 ,81400 ,190721 ,11631 
 Haringey ,2020,5661 ,1570 ,2058 ,9289 ,28929 ,10600 ,567.80 ,128100 ,288913 ,9761 
 Harrow ,2020,2403 ,516 ,1361 ,4280 ,15907 ,7000 ,570.50 ,92800 ,261348 ,5179 
 Havering ,2020,3157 ,408 ,1299 ,4864 ,16857 ,6900 ,574.90 ,67300 ,261830 ,2330 
 Hillingdon ,2020,4275 ,536 ,1906 ,6717 ,24993 ,10000 ,560.90 ,111800 ,316253 ,2733 
 Hounslow ,2020,4187 ,597 ,1761 ,6545 ,24373 ,9100 ,511.80 ,92700 ,284358 ,5080 
 Islington ,2020,7511 ,1187 ,2110 ,10808 ,25496 ,10000 ,690.10 ,110700 ,242827 ,16345 
 Kensington and Chelsea ,2020,5365 ,588 ,1621 ,7574 ,17968 ,5000 ,802.00 ,69400 ,160794 ,13262 
 Kingston upon Thames ,2020,2371 ,230 ,866 ,3467 ,11402 ,4800 ,617.30 ,73200 ,182728 ,4904 
 Lambeth ,2020,6672 ,1129 ,2581 ,10382 ,31103 ,13100 ,670.80 ,167900 ,340324 ,12694 
 Lewisham ,2020,4662 ,962 ,2448 ,8072 ,27627 ,11100 ,574.90 ,154900 ,317465 ,9032 
